Sequence ID,User,Start Time,Duration (min),Length,Complete Sequence,Starting Activity,Ending Activity
13,0,2024-01-10 19:35:52,49.4,75,toggle_lights → close_door → walking → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking → open_door → inspecting_buildplate → preparing_buildplate → using_flexpendant_mobile → preparing_buildplate → using_flexpendant_mobile → using_flexpendant_mobile → preparing_buildplate → using_flexpendant_mobile → preparing_buildplate → preparing_buildplate → preparing_buildplate → walking → walking → observing → toggle_lights → close_door → walking → walking → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking → walking → using_flexpendant_mounted → open_door → toggle_lights → inspecting_buildplate → preparing_buildplate → walking → walking → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → walking → using_flexpendant_mounted → walking → using_control_panel → open_door → inspecting_buildplate → inspecting_buildplate → wiring → wiring → walking → wiring → toggle_lights → walking → using_control_panel → walking → turning_gas_knobs → walking,toggle_lights,walking
14,0,2024-01-12 12:33:25,20.7,19,toggle_lights → observing → inspecting_buildplate → walking → refit_buildplate → refit_buildplate → inspecting_buildplate → walking → using_flexpendant_mobile → using_flexpendant_mobile → refit_buildplate → walking → donning_ppe → walking → wiring → walking → doffing_ppe → refit_buildplate → walking,toggle_lights,walking
15,0,2024-01-12 13:12:59,0.1,12,refit_buildplate → refit_buildplate → refit_buildplate → refit_buildplate → walking → refit_buildplate → inspecting_buildplate → refit_buildplate → inspecting_buildplate → refit_buildplate → walking → donning_ppe,refit_buildplate,donning_ppe
16,0,2024-01-12 13:28:27,40.6,30,donning_ppe → donning_ppe → doffing_ppe → donning_ppe → donning_ppe → grinding_buildplate → doffing_ppe → donning_ppe → grinding_buildplate → grinding_buildplate → doffing_ppe → doffing_ppe → walking → walking → walking → wiring → open_door → refit_buildplate → walking → using_flexpendant_mobile → using_control_panel → using_flexpendant_mobile → refit_buildplate → inspecting_buildplate → walking → walking → wiring → walking → using_flexpendant_mobile → inspecting_buildplate,donning_ppe,inspecting_buildplate
17,0,2024-01-12 14:49:03,0.0,12,toggle_lights → close_door → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking,toggle_lights,walking
18,0,2024-02-25 19:07:32,1.4,5,open_door → toggle_lights → adjusting_tool → preparing_buildplate → using_control_panel,open_door,using_control_panel
19,0,2024-02-25 19:26:28,91.5,107,adjusting_tool → using_flexpendant_mobile → preparing_buildplate → preparing_buildplate → adjusting_tool → adjusting_tool → adjusting_tool → preparing_buildplate → preparing_buildplate → preparing_buildplate → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → preparing_buildplate → adjusting_tool → using_flexpendant_mounted → using_flexpendant_mounted → using_flexpendant_mobile → refit_buildplate → refit_buildplate → using_flexpendant_mounted → refit_buildplate → refit_buildplate → using_flexpendant_mobile → using_flexpendant_mobile → using_control_panel → using_flexpendant_mobile → using_control_panel → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_flexpendant_mobile → using_flexpendant_mobile → toggle_lights → close_door → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → preparing_buildplate → using_flexpendant_mobile → toggle_lights → close_door → using_flexpendant_mounted → using_flexpendant_mounted → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → open_door → toggle_lights → adjusting_tool → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mounted → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted,adjusting_tool,using_flexpendant_mounted
20,0,2024-03-04 18:03:56,2.4,3,adjusting_tool → adjusting_tool → adjusting_tool,adjusting_tool,adjusting_tool
21,0,2024-03-04 18:31:36,22.2,12,preparing_buildplate → using_control_panel → using_flexpendant_mounted → using_flexpendant_mobile → refit_buildplate → refit_buildplate → refit_buildplate → refit_buildplate → refit_buildplate → refit_buildplate → refit_buildplate → refit_buildplate,preparing_buildplate,refit_buildplate
22,0,2024-03-04 20:01:35,56.7,45,donning_ppe → grinding_buildplate → grinding_buildplate → grinding_buildplate → using_flexpendant_mounted → using_flexpendant_mobile → using_flexpendant_mobile → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → using_flexpendant_mobile → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → using_flexpendant_mobile → adjusting_tool → adjusting_tool → adjusting_tool → close_door → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → preparing_buildplate → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel,donning_ppe,using_control_panel
23,0,2024-03-07 13:46:09,3.5,4,adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool,adjusting_tool,adjusting_tool
24,0,2024-04-15 16:36:16,0.1,3,adjusting_tool → toggle_lights → close_door,adjusting_tool,close_door
25,0,2024-04-16 16:03:35,11.3,20,adjusting_tool → adjusting_tool → using_flexpendant_mounted → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → open_door → using_control_panel → using_flexpendant_mounted → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted,adjusting_tool,using_flexpendant_mounted
26,0,2024-04-16 17:26:32,14.1,3,using_control_panel → using_control_panel → open_door,using_control_panel,open_door
27,0,2024-04-17 15:49:10,8.5,18,using_flexpendant_mounted → using_flexpendant_mobile → using_flexpendant_mobile → close_door → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → adjusting_tool → using_flexpendant_mounted → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted,using_flexpendant_mounted,using_flexpendant_mounted
28,0,2024-04-17 16:18:38,0.7,5,using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted,using_flexpendant_mounted,using_flexpendant_mounted
29,0,2024-04-17 17:01:11,52.9,43,open_door → toggle_lights → preparing_buildplate → using_flexpendant_mobile → refit_buildplate → refit_buildplate → preparing_buildplate → preparing_buildplate → preparing_buildplate → preparing_buildplate → preparing_buildplate → preparing_buildplate → refit_buildplate → preparing_buildplate → refit_buildplate → refit_buildplate → refit_buildplate → using_flexpendant_mobile → using_flexpendant_mobile → adjusting_tool → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted,open_door,using_flexpendant_mounted
30,0,2024-04-17 18:14:29,1.0,4,open_door → open_door → toggle_lights → toggle_lights,open_door,toggle_lights
31,0,2024-04-23 12:50:52,41.4,86,toggle_lights → using_flexpendant_mounted → using_flexpendant_mounted → using_flexpendant_mobile → toggle_lights → close_door → using_flexpendant_mobile → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → inspecting_buildplate → adjusting_tool → using_flexpendant_mobile → using_flexpendant_mounted → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → open_door → inspecting_buildplate → using_flexpendant_mobile → using_flexpendant_mobile → inspecting_buildplate → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → inspecting_buildplate → toggle_lights → inspecting_buildplate → using_flexpendant_mobile → adjusting_tool → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → inspecting_buildplate → using_flexpendant_mounted → using_flexpendant_mobile → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → using_flexpendant_mobile → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → open_door → toggle_lights → inspecting_buildplate,toggle_lights,inspecting_buildplate
32,0,2024-04-23 13:57:05,1.8,8,using_flexpendant_mounted → using_flexpendant_mobile → adjusting_tool → preparing_buildplate → using_flexpendant_mobile → using_flexpendant_mobile → toggle_lights → close_door,using_flexpendant_mounted,close_door
33,0,2024-04-23 14:14:39,59.0,120,using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → preparing_buildplate → preparing_buildplate → preparing_buildplate → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → adjusting_tool → toggle_lights → toggle_lights → using_flexpendant_mobile → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → preparing_buildplate → using_flexpendant_mounted → using_control_panel → using_flexpendant_mobile → using_flexpendant_mobile → refit_buildplate → toggle_lights,using_control_panel,toggle_lights
34,0,2024-05-01 22:31:48,65.4,70,preparing_buildplate → refit_buildplate → preparing_buildplate → refit_buildplate → refit_buildplate → refit_buildplate → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mobile → preparing_buildplate → preparing_buildplate → using_flexpendant_mobile → using_flexpendant_mounted → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mounted → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mobile → using_control_panel → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mounted → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mobile → inspecting_buildplate → turning_gas_knobs → toggle_lights,preparing_buildplate,toggle_lights
35,0,2024-05-06 17:02:20,7.8,5,using_control_panel → toggle_lights → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mobile,using_control_panel,using_flexpendant_mobile
36,0,2024-05-06 17:29:00,37.8,57,adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → using_flexpendant_mobile → toggle_lights → close_door → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → using_flexpendant_mobile → preparing_buildplate → toggle_lights → close_door → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mobile → toggle_lights → close_door → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → open_door → toggle_lights,adjusting_tool,toggle_lights
37,0,2024-05-06 18:32:50,29.7,80,using_flexpendant_mounted → using_flexpendant_mobile → toggle_lights → close_door → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → using_flexpendant_mobile → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → open_door → toggle_lights → using_flexpendant_mobile → toggle_lights → close_door → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → open_door → open_door → inspecting_buildplate → toggle_lights → using_control_panel → turning_gas_knobs,using_flexpendant_mounted,turning_gas_knobs
38,0,2024-05-14 14:49:50,0.0,2,toggle_lights → using_control_panel,toggle_lights,using_control_panel
39,1,2023-12-14 11:11:01,10.0,10,wiring → using_flexpendant_mobile → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel → using_control_panel → open_door → adjusting_tool,wiring,adjusting_tool
40,1,2023-12-14 11:48:38,0.1,2,toggle_lights → close_door,toggle_lights,close_door
41,1,2024-02-22 11:15:00,0.1,2,toggle_lights → using_control_panel,toggle_lights,using_control_panel
42,1,2024-02-22 11:38:55,0.1,12,using_flexpendant_mobile → using_control_panel → using_control_panel → turning_gas_knobs → using_flexpendant_mounted → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → using_control_panel,using_flexpendant_mobile,using_control_panel
43,1,2024-02-22 12:14:50,0.1,11,using_control_panel → open_door → close_door → using_flexpendant_mounted → open_door → close_door → using_flexpendant_mobile → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel,using_control_panel,using_control_panel
44,1,2024-02-24 19:23:10,8.2,3,using_flexpendant_mounted → using_flexpendant_mobile → adjusting_tool,using_flexpendant_mounted,adjusting_tool
45,1,2024-02-24 20:03:46,12.9,11,using_flexpendant_mobile → adjusting_tool → close_door → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → close_door → close_door,using_flexpendant_mobile,close_door
46,1,2024-03-04 11:17:37,15.9,13,turning_gas_knobs → adjusting_tool → using_flexpendant_mobile → adjusting_tool → using_flexpendant_mobile → close_door → using_control_panel → using_flexpendant_mobile → open_door → close_door → using_flexpendant_mobile → using_flexpendant_mobile → open_door,turning_gas_knobs,open_door
47,1,2024-03-04 12:16:17,12.9,4,close_door → using_flexpendant_mobile → using_control_panel → turning_gas_knobs,close_door,turning_gas_knobs
48,1,2024-05-08 10:28:32,8.6,7,using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_flexpendant_mobile → using_flexpendant_mobile,using_flexpendant_mounted,using_flexpendant_mobile
49,2,2024-01-08 10:10:04,19.6,33,observing → walking → observing → observing → walking → walking → walking → observing → walking → observing → walking → observing → walking → observing → walking → observing → walking → observing → walking → observing → walking → walking → observing → walking → observing → observing → walking → observing → walking → observing → observing → walking → walking,observing,walking
50,2,2024-01-08 14:51:35,8.8,21,observing → walking → walking → walking → observing → walking → observing → observing → walking → observing → walking → walking → observing → walking → observing → walking → walking → walking → walking → observing → walking,observing,walking
51,2,2024-01-12 12:54:02,3.9,3,refit_buildplate → refit_buildplate → refit_buildplate,refit_buildplate,refit_buildplate
52,3,2023-12-08 14:18:30,3.7,2,toggle_lights → toggle_lights,toggle_lights,toggle_lights
53,3,2024-01-09 13:50:56,0.0,2,observing → walking,observing,walking
54,3,2024-02-24 18:26:04,2.0,6,grinding_buildplate → grinding_buildplate → grinding_buildplate → grinding_buildplate → grinding_buildplate → grinding_buildplate,grinding_buildplate,grinding_buildplate
